source,target,importance
CLUH,ELP5,0.8482510447502136
MRPS17,ELP5,0.8430548906326294
TP53I13,ELP5,0.8423851728439331
CDC5L,ELP5,0.8411598801612854
CTU1,ELP5,0.8409963846206665
MRPS35,ELP5,0.8405199646949768
MRPL41,MRPL18,0.9684756398200989
MRPL50,MRPL18,0.9657374620437622
MRPL55,MRPL18,0.9634270071983337
MRPL38,MRPL18,0.961995005607605
MRPL24,MRPL18,0.9619324207305908
MRPL44,MRPL18,0.9595416784286499
GADD45GIP1,MRPL18,0.9524085521697998
MRPL17,MRPL18,0.9512457847595215
MRPL3,MRPL18,0.9507198333740234
MRPL52,MRPL18,0.9503278732299805
MRPL20,MRPL18,0.9496366381645203
MRPL36,MRPL18,0.94748854637146
MRPL14,MRPL18,0.9456978440284729
MRPL58,MRPL18,0.944012463092804
MRPL39,MRPL18,0.9332658052444458
HMGB3,MRPL18,0.9324280023574829
MRPL16,MRPL18,0.9272423386573792
MRPL27,MRPL18,0.9247516393661499
RPUSD4,MRPL18,0.9216693639755249
MRPL42,MRPL18,0.9201102256774902
MAT2B,SCAF4,0.8602801561355591
MED16,SCAF4,0.851893424987793
NACA,SCAF4,0.8471702337265015
NAA15,SCAF4,0.8456664085388184
MED15,SCAF4,0.8436852097511292
MUTYH,SCAF4,0.8422504663467407
HHEX,SCAF4,0.8411438465118408
CMTR1,SCAF4,0.8399227857589722
CSNK2A2,SCAF4,0.8396903276443481
MED4,SCAF4,0.8382021188735962
CENPC,SCAF4,0.8379871845245361
MED1,SCAF4,0.8370692729949951
ZC3H18,SCAF4,0.8367644548416138
MED9,SCAF4,0.8359056711196899
PRPF39,SCAF4,0.835353672504425
PABPN1,SCAF4,0.8347069025039673
POLR2H,SCAF4,0.8345732688903809
INO80,SCAF4,0.8344541788101196
POLR2I,SCAF4,0.8342666029930115
MAPK1,SCAF4,0.834036648273468
DCTN2,HAUS7,0.8910170197486877
PMF1,HAUS7,0.8832312822341919
CSE1L,HAUS7,0.8757201433181763
BGLAP,HAUS7,0.8757083415985107
BUB1B,HAUS7,0.8720991015434265
DERL2,HAUS7,0.8649574518203735
SPC25,HAUS7,0.8588525056838989
CLTC,HAUS7,0.8587386608123779
MIS12,HAUS7,0.857337236404419
HSCB,HAUS7,0.8568613529205322
DCTN3,HAUS7,0.8531961441040039
BUB1,HAUS7,0.8507229089736938
SRSF2,HAUS7,0.8500111103057861
HNRNPL,HAUS7,0.8481458425521851
KIN,HAUS7,0.8475319147109985
PELP1,HAUS7,0.846497654914856
MAD2L1,HAUS7,0.8457876443862915
PAXBP1,HAUS7,0.845540463924408
ATP1A1,HAUS7,0.8439440727233887
RPLP2,HAUS7,0.8434328436851501
MGRN1,MTF1,0.6704264283180237
CMTR2,MTF1,0.6183273792266846
CCNG1,MTF1,0.5745720863342285
AC118549.1,MTF1,0.5532642602920532
DIS3L2,MTF1,0.541067361831665
SNAPC5,MTF1,0.5407030582427979
CXXC1,MTF1,0.5317314267158508
C1D,MTF1,0.5137803554534912
CCNE1,MTF1,0.5037692785263062
RPRD2,MTF1,0.48740124702453613
MCM7,MTF1,0.47553539276123047
EXOSC1,MTF1,0.4731433391571045
EIF1AD,MTF1,0.46223753690719604
YEATS2,MTF1,0.4620661735534668
RNF40,MTF1,0.4534519910812378
WAC,MTF1,0.4507438540458679
MVK,MTF1,0.4503398537635803
SKP2,MTF1,0.4465225338935852
GFOD2,MTF1,0.44023048877716064
HIRA,MTF1,0.4383409023284912
SFSWAP,ARGLU1,0.970767617225647
FNBP4,ARGLU1,0.9681775569915771
PRPF4B,ARGLU1,0.9643257856369019
SLIRP,ARGLU1,0.9634164571762085
SERPINB1,ARGLU1,0.9567102789878845
SDE2,ARGLU1,0.9503881335258484
HSPE1,ARGLU1,0.9491832852363586
PNPT1,ARGLU1,0.9442483186721802
PTPMT1,ARGLU1,0.943185031414032
TOMM22,ARGLU1,0.9416179060935974
TOMM40,ARGLU1,0.9412974119186401
PRPF19,ARGLU1,0.9404350519180298
LRPPRC,ARGLU1,0.9401353597640991
TOMM20,ARGLU1,0.9396486878395081
MRPS12,ARGLU1,0.9388617277145386
ACSS2,ARGLU1,0.93865966796875
COPS5,ARGLU1,0.9381597638130188
MTPAP,ARGLU1,0.9365842938423157
IARS2,ARGLU1,0.9359720945358276
OPA1,ARGLU1,0.9356579780578613
HOMER3,WDFY3,0.8979647755622864
RBM4,WDFY3,0.8885502815246582
FYN,WDFY3,0.8831660747528076
NOL7,WDFY3,0.879138708114624
UTP18,WDFY3,0.8727105855941772
GAR1,WDFY3,0.8685256242752075
MRM1,WDFY3,0.8684303760528564
MBNL1,WDFY3,0.867110013961792
EXOSC9,WDFY3,0.8667543530464172
COTL1,WDFY3,0.8666979074478149
CCNJ,WDFY3,0.8642880916595459
SORT1,WDFY3,0.863804817199707
RPS21,WDFY3,0.8637211322784424
NOP58,WDFY3,0.8634576201438904
RBM19,WDFY3,0.8611371517181396
TAF1,WDFY3,0.8609174489974976
UTP23,WDFY3,0.8602763414382935
WDTC1,WDFY3,0.8597532510757446
DPF2,WDFY3,0.8591704368591309
TRMT112,WDFY3,0.8590284585952759
TSG101,CHMP6,0.940242350101471
CHMP3,CHMP6,0.9401682615280151
VPS28,CHMP6,0.9180792570114136
TRAPPC11,CHMP6,0.8978217840194702
COG8,CHMP6,0.8634268045425415
ATP6V1B2,CHMP6,0.8512647747993469
